-,-,-
220, -831, 31
211, -735, -15
211, -735, -15
204, -468, 81
168, -211, 157
198, 141, 149
236, 495, 27
252, 799, 106
252, 799, 106
186, 851, 235
-91, 549, 220
-363, 14, 366
-563, -696, 610
-696, -1481, 810
-822, -1905, 825
-930, -1998, 889
-799, -1998, 972
-485, -1998, 973
-292, -1930, 903
-105, -1642, 958
-125, -1152, 917
31, -936, 938
31, -936, 938
-,-,-
138, -795, 157
34, -726, -4
-209, -511, -453
-182, -161, -518
-48, 192, -427
-48, 192, -427
68, 567, -300
240, 837, -207
307, 875, -127
31, 615, -27
-277, 236, 323
-330, -12, 770
-330, -12, 770
-205, -128, 1309
52, -337, 1834
132, -643, 1997
133, -876, 1998
191, -1049, 1998
194, -1082, 1998
199, -1054, 1998
155, -1152, 1998
-15, -1227, 1985
-98, -1100, 1587
-86, -929, 1206
83, -700, 1039
203, -476, 1011
225, -414, 942
163, -396, 778
-,-,-
46, -602, -134
10, -518, -105
-113, -390, -180
-124, -119, -300
12, 152, -210
12, 152, -210
230, 409, -225
305, 552, -251
324, 549, -95
80, 395, 107
80, 395, 107
-308, 121, 226
-506, -226, 364
-162, -371, 550
65, -434, 1066
-148, -820, 1696
-523, -1434, 1995
-867, -1930, 1915
-806, -1900, 1526
-512, -1682, 1275
-355, -1600, 1098
-560, -1711, 1220
-358, -1509, 1426
-135, -1259, 1527
-238, -1271, 1481
-,-,-
-157, -573, -495
-101, -662, -625
4, -344, -519
-25, -182, -338
-108, -160, -303
-77, -65, -423
-48, 4, -283
-94, -41, -229
-84, -19, -144
-84, -19, -144
-98, -48, 31
-43, -148, 193
87, -247, 479
37, -467, 803
-138, -725, 892
-91, -833, 917
-91, -833, 917
-36, -971, 743
-104, -1081, 644
-154, -1110, 878
-100, -1207, 1333
-22, -1250, 1369
29, -1180, 1156
55, -1191, 1102
13, -1414, 1319
-92, -1608, 1509
-91, -1638, 1400
-,-,-
-81, -305, -287
-157, -293, -185
-25, -126, -202
48, -50, -95
168, 78, -9
301, 237, 86
301, 237, 86
215, 147, 420
22, -106, 840
-59, -350, 838
62, -450, 791
25, -674, 910
25, -674, 910
-236, -1053, 943
-415, -1363, 826
-301, -1517, 964
39, -1388, 1206
94, -1486, 1391
-8, -1666, 1540
136, -1646, 1468
320, -1548, 1432
354, -1561, 1510
135, -1621, 1438
-241, -1714, 1046
-350, -1615, 841
-,-,-
45, -1000, 30
45, -1000, 30
46, -1081, 2
38, -993, -51
101, -942, 10
78, -962, 39
78, -962, 39
68, -924, 99
45, -858, 110
18, -771, 98
2, -633, 100
2, -633, 100
-64, -491, 41
-104, -292, -4
-100, -154, -90
-15, -14, -116
67, 69, -167
67, 69, -167
136, 121, -213
156, 115, -177
112, 21, 69
-2, -106, 292
-2, -106, 292
-82, -311, 500
-119, -543, 794
-82, -651, 978
-45, -883, 1527
-158, -1198, 1832
-68, -1225, 1657
181, -1207, 1416
310, -1172, 1527
220, -1315, 1621
120, -1428, 1620
82, -1521, 1743
