-,-,-
42, -926, 322
36, -928, 335
22, -958, 310
11, -957, 232
24, -958, 238
24, -958, 238
30, -940, 267
33, -944, 271
58, -932, 307
75, -915, 303
87, -894, 290
87, -894, 290
91, -914, 280
95, -912, 245
84, -924, 209
79, -931, 210
84, -964, 248
84, -964, 248
76, -970, 253
73, -1005, 269
64, -1082, 262
62, -1089, 220
61, -1079, 171
15, -1121, 193
-9, -1210, 238
-9, -1210, 238
-46, -1210, 173
-130, -1183, 161
-188, -1240, 207
-229, -1298, 210
-284, -1264, 191
-322, -1228, 108
-389, -1274, 106
-437, -1225, 150
-486, -1146, 149
-553, -1115, 97
-625, -1064, 16
-689, -1050, -24
-681, -1028, 76
-669, -1000, 182
-644, -963, 160
-653, -956, 144
-645, -948, 134
-588, -905, 118
-539, -877, 140
-532, -863, 164
-478, -793, 89
-462, -745, -13
-419, -757, -43
-419, -757, -43
-403, -740, -34
-343, -725, 11
-336, -753, 55
-347, -777, 66
-312, -794, 36
-285, -775, 25
-255, -786, 38
-251, -816, 95
-233, -820, 120
-189, -817, 74
-189, -817, 74
-153, -829, 41
-155, -824, 39
-148, -840, 57
-114, -858, 101
-25, -828, 38
-10, -778, 22
-10, -758, 5
-10, -758, 5
37, -714, 0
155, -691, -7
210, -729, -29
154, -704, -35
154, -704, -35
158, -682, -5
277, -680, -4
310, -693, -28
291, -675, 13
335, -689, 33
430, -701, -1
430, -701, -1
472, -721, -58
389, -734, 2
382, -783, 57
462, -875, 89
503, -889, 33
503, -889, 33
514, -878, -24
552, -876, 80
624, -892, 92
678, -878, 17
624, -894, 23
624, -894, 23
554, -1086, 191
631, -1116, 121
648, -982, 214
638, -1006, 216
594, -1060, 146
546, -1171, 63
522, -1221, 0
510, -1291, 257
507, -1250, 309
480, -1104, 287
483, -1057, 196
483, -1057, 196
477, -1085, 170
441, -1013, 264
429, -905, 240
410, -881, 134
389, -969, 50
352, -1020, 91
248, -1009, 189
203, -1067, 308
145, -1204, 254
184, -1256, 109
142, -1245, 255
142, -1245, 255
48, -1254, 198
14, -1307, 206
-54, -1314, 191
-67, -1289, 201
-129, -1268, 204
-193, -1251, 192
-222, -1255, 122
-214, -1266, 142
-219, -1253, 210
-230, -1157, 150
-263, -1096, 79
-292, -1122, 57
-320, -1191, 102
-317, -1128, 60
-284, -1039, 47
-270, -1056, 69
-275, -1072, 61
-255, -1014, 52
-193, -971, 18
-174, -941, -13
-208, -974, 56
-208, -974, 56
-221, -981, 54
-201, -949, 67
-164, -891, 25
-149, -849, 5
-161, -824, 0
-166, -822, -1
-140, -840, 5
-140, -840, 5
-114, -814, 6
-59, -781, 0
2, -782, -12
26, -805, -50
26, -805, -50
47, -807, -63
83, -793, -90
95, -780, -103
135, -795, -107
142, -786, -134
190, -784, -126
235, -779, -169
238, -770, -161
255, -774, -174
255, -774, -174
277, -731, -180
310, -683, -192
343, -691, -183
344, -694, -143
314, -681, -139
338, -647, -120
410, -661, -151
405, -710, -146
366, -705, -192
360, -728, -174
410, -783, -135
445, -765, -190
438, -765, -185
446, -800, -217
474, -860, -171
490, -892, -153
476, -866, -180
476, -866, -180
496, -851, -164
557, -930, -88
592, -958, -74
579, -925, -81
568, -891, -55
523, -1031, -74
524, -1163, -14
533, -1123, 99
