-,-,-
14, -940, 356
-3, -948, 345
-1, -934, 326
-1, -934, 326
5, -964, 374
7, -997, 366
17, -1003, 405
4, -1026, 414
-9, -1046, 392
-9, -1046, 392
-22, -1079, 378
-18, -1090, 375
-3, -1075, 394
12, -1069, 371
32, -1061, 364
37, -1071, 356
46, -1108, 338
52, -1158, 332
68, -1185, 344
68, -1185, 344
88, -1204, 319
82, -1190, 358
69, -1202, 354
47, -1190, 342
43, -1168, 330
73, -1141, 320
78, -1087, 319
86, -1016, 269
86, -1016, 269
86, -984, 217
84, -940, 177
98, -903, 132
109, -890, 119
95, -887, 106
91, -901, 114
91, -901, 114
93, -902, 96
91, -907, 89
67, -902, 60
31, -906, 33
31, -906, 33
16, -928, 29
12, -931, 36
1, -930, 29
1, -930, 29
2, -923, 23
11, -906, -1
20, -883, -23
20, -883, -23
23, -881, -61
23, -880, -66
16, -851, -98
9, -876, -68
24, -890, -80
24, -890, -80
12, -898, -65
5, -894, -79
30, -880, -114
41, -876, -128
46, -892, -126
46, -892, -126
43, -925, -131
18, -939, -91
19, -921, -54
30, -878, -85
26, -869, -125
44, -865, -138
23, -866, -120
-,-,-
-59, -903, 206
-61, -962, 103
-5, -998, 195
-23, -1113, 279
9, -1244, 346
-1, -1397, 400
-14, -1623, 455
-9, -1706, 385
-9, -1706, 385
22, -1749, 332
21, -1783, 373
3, -1735, 450
9, -1578, 472
50, -1397, 392
49, -1232, 317
50, -1070, 244
50, -1070, 244
48, -915, 137
23, -782, 16
39, -699, 22
64, -665, 50
38, -690, 10
38, -690, 10
15, -660, -53
-22, -621, -136
-48, -648, -112
5, -631, -116
60, -573, -134
66, -551, -202
66, -551, -202
81, -565, -221
106, -570, -230
104, -566, -206
109, -600, -198
-,-,-
8, -964, 150
-26, -1148, 156
10, -1219, 239
10, -1219, 239
43, -1288, 304
12, -1491, 368
-41, -1723, 442
7, -1786, 433
68, -1724, 339
58, -1647, 233
22, -1603, 254
26, -1512, 273
26, -1512, 273
2, -1309, 244
-54, -1022, 105
-50, -847, 4
-23, -795, -5
27, -776, -34
34, -759, 14
34, -759, 14
-7, -721, 15
-49, -675, -19
-36, -607, -77
-4, -526, -146
54, -469, -211
54, -469, -211
68, -414, -277
80, -442, -286
75, -466, -289
72, -533, -249
91, -610, -189
61, -658, -122
-,-,-
-6, -981, 96
-6, -981, 96
-15, -961, 120
-28, -1026, 58
44, -1080, 187
-18, -1088, 203
-29, -1176, 226
30, -1330, 197
43, -1523, 101
28, -1738, 177
28, -1738, 177
-56, -1863, 304
-84, -1861, 359
-64, -1739, 330
-81, -1603, 286
-89, -1433, 256
-67, -1217, 223
-3, -1031, 165
37, -852, 70
28, -751, -4
28, -751, -4
26, -709, 1
-15, -707, 9
-14, -615, -78
-8, -555, -174
-52, -553, -215
-52, -553, -215
-32, -526, -235
-35, -489, -278
-20, -458, -326
38, -447, -336
64, -469, -339
75, -558, -268
74, -615, -176
-,-,-
-10, -914, 145
-35, -999, 9
-7, -1030, 65
-10, -1090, 165
-20, -1154, 178
30, -1238, 184
30, -1238, 184
124, -1383, 204
121, -1521, 232
68, -1606, 241
28, -1663, 246
-4, -1623, 270
-52, -1493, 222
-98, -1372, 165
-158, -1284, 133
-132, -1153, 64
-76, -1079, 59
-19, -986, 28
-19, -986, 28
2, -873, -11
-13, -779, -54
-6, -732, -81
27, -693, -85
42, -636, -120
42, -636, -120
31, -591, -186
36, -577, -228
49, -577, -259
48, -634, -216
29, -700, -220
12, -739, -226
40, -750, -211
43, -744, -214
43, -744, -214
51, -729, -230
37, -740, -213
-,-,-
15, -1018, 89
15, -1018, 89
-7, -1042, 118
-13, -1085, 131
27, -1160, 147
20, -1314, 203
-24, -1503, 276
-96, -1606, 290
-84, -1645, 294
-57, -1572, 269
-16, -1463, 216
-13, -1319, 148
12, -1195, 131
12, -1195, 131
27, -1067, 103
48, -966, 32
43, -910, 0
58, -854, -12
61, -811, -23
61, -811, -23
50, -750, -86
32, -723, -106
-18, -738, -78
-77, -777, -81
-67, -768, -99
-42, -769, -127
-15, -763, -161
-15, -763, -161
-8, -796, -156
11, -840, -132
52, -845, -138
74, -849, -144
77, -849, -197
47, -863, -206
30, -866, -202
29, -856, -197
9, -814, -208
9, -814, -208
48, -783, -191
-,-,-
-34, -1011, 125
-24, -1284, 245
1, -1455, 253
-9, -1599, 168
-9, -1599, 168
0, -1781, 187
-6, -1944, 305
15, -1970, 467
51, -1802, 456
11, -1552, 372
-32, -1265, 214
24, -1000, 108
83, -830, 7
83, -830, 7
39, -745, -72
-44, -674, -77
-76, -645, -106
0, -635, -77
0, -635, -77
33, -632, -25
-1, -598, -78
-57, -544, -134
-60, -509, -178
15, -487, -212
48, -528, -179
-,-,-
-2, -904, 75
-13, -1018, 55
27, -1208, 208
35, -1294, 224
35, -1294, 224
34, -1349, 309
-44, -1488, 258
-58, -1642, 294
-24, -1788, 359
-14, -1809, 344
-53, -1727, 335
-80, -1559, 305
-68, -1344, 212
-28, -1202, 188
24, -1070, 167
79, -986, 63
79, -986, 63
48, -865, -40
6, -748, -89
26, -697, -98
59, -649, -107
47, -583, -131
47, -583, -131
44, -488, -172
15, -419, -217
-,-,-
12, -902, 178
-16, -982, 65
-5, -1071, 161
-35, -1190, 233
-18, -1277, 268
21, -1384, 272
21, -1384, 272
80, -1480, 246
84, -1584, 198
58, -1663, 235
19, -1736, 331
-17, -1690, 343
-58, -1564, 308
-102, -1436, 235
-100, -1283, 167
-43, -1150, 135
10, -1040, 104
42, -949, 23
42, -949, 23
60, -877, -3
64, -805, -43
49, -744, -65
58, -690, -63
58, -690, -63
34, -648, -69
30, -544, -119
27, -430, -220
36, -391, -265
14, -386, -280
37, -394, -260
-,-,-
-32, -958, 107
7, -1003, 88
40, -1093, 141
22, -1146, 102
17, -1237, 139
-3, -1397, 172
-9, -1591, 217
-9, -1591, 217
31, -1667, 213
22, -1684, 208
8, -1651, 224
24, -1550, 232
18, -1421, 210
-20, -1301, 179
7, -1161, 130
7, -1161, 130
42, -1021, 47
10, -938, -1
-23, -873, -23
-30, -831, -3
-55, -771, -38
-71, -722, -84
-71, -722, -84
-49, -655, -124
0, -598, -160
35, -569, -145
29, -594, -171
39, -580, -209
51, -510, -271
69, -508, -296
40, -561, -294
40, -561, -294
51, -632, -248
-,-,-
-30, -848, 75
14, -982, 65
44, -1098, 41
25, -1276, 5
11, -1785, 190
11, -1785, 190
-78, -1998, 573
-169, -1998, 785
-133, -1998, 572
-65, -1925, 357
38, -1640, 242
154, -1289, 142
118, -1074, 147
-26, -908, 140
-30, -640, 62
9, -333, -171
-24, -178, -258
-24, -178, -258
29, -200, -166
100, -231, -95
108, -167, -159
113, -98, -289
-,-,-
-59, -812, 145
-27, -900, 60
79, -992, 97
79, -992, 97
80, -963, 31
-18, -1057, 98
-39, -1242, 135
21, -1510, 200
1, -1793, 272
-52, -1997, 441
-52, -1997, 441
-110, -1998, 491
-128, -1998, 488
-111, -1956, 470
-44, -1674, 387
53, -1325, 207
56, -1063, 114
-84, -981, 176
-60, -819, 108
-33, -620, -4
6, -503, -65
30, -423, -115
30, -423, -115
86, -380, -162
119, -312, -189
120, -259, -229
102, -215, -283
109, -177, -346
114, -182, -349
-,-,-
-29, -870, 76
-3, -901, 74
18, -921, 91
59, -916, 109
66, -932, 112
66, -932, 112
-7, -922, 93
-71, -1026, 126
-51, -1177, 154
-20, -1414, 168
44, -1713, 171
62, -1946, 300
-20, -1998, 508
-57, -1991, 492
-73, -1823, 379
-76, -1586, 255
-76, -1586, 255
-83, -1389, 155
-79, -1232, 122
27, -1096, 123
48, -971, 73
-47, -810, 25
-108, -749, 35
-70, -686, 18
-1, -595, 4
-1, -595, 4
27, -502, -91
25, -422, -166
31, -395, -167
62, -349, -195
62, -349, -195
95, -313, -245
86, -293, -317
73, -372, -338
62, -439, -365
59, -563, -298
28, -706, -176
-,-,-
-15, -989, 85
-15, -989, 85
15, -998, 131
13, -1015, 143
20, -1020, 131
-5, -980, 124
-25, -965, 106
-11, -985, 123
-11, -985, 123
-4, -1000, 130
12, -986, 124
15, -971, 114
7, -973, 129
2, -967, 132
2, -967, 132
-8, -962, 120
7, -935, 113
3, -931, 119
-12, -923, 105
-12, -923, 105
-22, -921, 85
-16, -975, 99
-13, -1055, 124
-19, -1148, 109
-25, -1281, 44
-11, -1631, 103
-5, -1993, 403
-77, -1998, 759
-134, -1998, 805
-66, -1960, 595
-118, -1678, 443
-67, -1302, 217
-67, -1302, 217
16, -971, 49
11, -740, -15
-41, -616, -61
-43, -545, -91
0, -486, -79
2, -363, -147
2, -363, -147
0, -266, -257
58, -285, -244
135, -273, -229
153, -212, -248
64, -145, -364
38, -234, -403
-1, -361, -319
18, -511, -231
18, -511, -231
-,-,-
9, -985, 135
9, -1006, 59
9, -1006, 59
-11, -996, 122
-5, -1007, 146
0, -1003, 122
-3, -999, 106
-5, -995, 121
-12, -987, 115
-12, -987, 115
-12, -967, 104
-8, -946, 96
1, -945, 103
15, -956, 115
-6, -961, 122
-6, -961, 122
-4, -946, 113
20, -933, 106
28, -930, 77
4, -948, 56
4, -948, 56
-9, -1004, 52
-9, -1179, 54
-3, -1518, 112
1, -1903, 279
-61, -1998, 539
